name,team,jersey_number
"Gemmel, Jeremiah",,48
"Hansford, Aaron",,0
"JACKSON, Kordell",Edmonton Elks,13
"Watkins, Vonnie",,0
"Ponder, Elijah",,0
"Bright, Cam",,38
"Vann, Josh",,0
"Williams, Daymond",,78
"Howell, Ja'Won",,8
"Cass, Kyle",,28
"SCOTT III, Stevie",Montreal Alouettes,8
"McDaniel, Jermaine",,0
"Herrien, Brian",,35
"Turner, Jamal",,0
"ANAE, Bradlee",BC Lions,96
"Joiner, Darius",,27
"Fuller, Travon",,0
"Tangelo, Derrick",,0
"White, Brendon",,7
"Williams, Bennett",Ottawa Redblacks,14
"BRIDGES, Marquise",BC Lions,37
"BARNES, William",Calgary Stampeders,61
"DANDY, Russell",,36
"Asante, Ayir",,82
"RAMBO, Charleston",Montreal Alouettes,14
"Hillman, Marcus",,41
"JOHNSON, Tyreek",Edmonton Elks,54
"Deen, Branson",Hamilton Tiger-Cats,0
"Camp, Keyshon",,10
"Holmes, Dev",,0
"CAGE, Jerron",Montreal Alouettes,95
"Henry, Malik",,16
"Borregales, Jose",,0
"Toth, Chris",,0
"Charlton, Randy",,0
"Howell, Tyrone",,83
"Adams, Tyler",,0
"Moore, Chauncey",,5
"Jackson Jr, Cail",,3
"Easton, Brevin",,71
"Green, David",,0
"D'Abreu, Rick",,0
"Wooden, Isaiah",Hamilton Tiger-Cats,11
"Holloway, Brian",,0
"MASON, Trevon",,90
"McCarthy, Nico",,0
"Buskey, Jonathan",,71
"SAMPLE, Jalen",,79
"Brown, Ronnie",,0
"Taylor, Jackson",,50
"Whittaker, Christopher",,6
"BROOKS, Myles",,37
"Waters, Marquis",,19
"BALDWIN, Daylen",,86
"WIGGINS Jr., James",Edmonton Elks,1
"STEWART, Tairiq",Winnipeg Blue Bombers,66
"Ossai, Philip",Hamilton Tiger-Cats,46
"Bell, Greg",Hamilton Tiger-Cats,5
"Epps, Isaiah",,0
"Bunton, O'Joshua",,0
"Miller, Andre",,88
"Brini, Latavious",,12
"Davis III, Daniel",,0
"HATTEN, Hayden",,85
"Sanders, Kelle",,93
"Ademilola, Jayson",,0
"COLEMAN, Larnel",,62
"Anderson Jr., Mario",Saskatchewan Roughriders,24
"Bruce IV, Arland",,0
"Jones, Malik",,0
"Tate, Tony",,0
"Phillips Jr, Jimmy",,0
"RANKIN, Justin",Edmonton Elks,5
"Ellis, Reynard",,53
"Bradley, Ja'Marcus",Saskatchewan Roughriders,84
"SMITH, Arkell",Edmonton Elks,86
"Lingard, Lorenzo",,41
"Chiaokhiao-Bowman, Ramaud",,0
"FALANIKO, Juliano",,41
"Zebrowski, Zach",Edmonton Elks,12
"PERSON, Jay",,38
"Nkemdiche, Robert",,90
"Green, Jalen",,77
"Schager, Brayden",Saskatchewan Roughriders,10
"Meyers, Dohnte",Saskatchewan Roughriders,88
"Amaewhule, Praise",,55
"Okie-Anoma, Eyabi",,
"Dennis, Amani",,33
"Agyei-Obese, Percy",,25
"BROWN, Cameron",Montreal Alouettes,41
"PERRYMAN, Jordan",,23
"CATCHINGS, Amari",,0
"Mitchell, Bryce",,
"Barbon, Jose",,80
"Moody, Jaylen",,29
"Brown, Spencer",Toronto Argonauts,21
"Bush, Arquon",,0
"Stirgus, DJ",,0
"DAVIS, KD",,46
"Johnson, KeeSean",Saskatchewan Roughriders,3
"Hicks, Ja'Von",,0
"Petrishen, John",,0
"Coleman, Chris",,0
"Watts, Duece",,89
"Egbule, Emeke",,49
"Allen, Christopher",,
"Ngata, Joseph",,86
"Green, Jalen",,36
"Plant Jr, Adam",,0
"Hall, John",,0
"Rashed Jr, Hamilcar",,99
"Frye, Adrian",Ottawa Redblacks,22
"White, Quavian",Hamilton Tiger-Cats,23
"Copeland, Jacob",,20
"Jones, Jordan",,0
"ELEY, Ayinde",,41
"Patmon, Dezmon",,76
"Fields, DaMarcus",Saskatchewan Roughriders,22
"McBride, DeWayne",,32
"COYLE, Tyler",BC Lions,6
"Taylor, Adarius",,0
"Lewan, Jason",,0
"Smith, Jordan",,90
"Cosby, Bryce",,37
"Coldon, C.J.",Ottawa Redblacks,36
"Monday, Quindarious",,0
"Dantzler, Cameron",,3
"Amos, Jaquan",,0
"Lettman, Toby",,66
"Ealy, Jerrion",,0
"Miller Jr, Aubrey",Saskatchewan Roughriders,47
"Biggers, Caleb",,0
"Peoples, Camerun",,6
"Alston, Ravi",,81
"Hastings, Miles",Ottawa Redblacks,0
"Young, Avery",,0
"WOODS, Jamal",Winnipeg Blue Bombers,91
"MULLEN, Tiawan",,32
"WAYNE, Jalen",,82
"Johnson, Caleb",Montreal Alouettes,40
"Buck, Brody",,45
"Hall, Maalik",Hamilton Tiger-Cats,74
"CRUICKSHANK, Aron",,0
"HARDISON, Gavin",,16
"JOHNSON, Braydon",,0
"RICHARDSON, Tyler",Calgary Stampeders,35
"HARPER, Devron",,82
"TANNOR, Caleb",,19
"Donkor, Aaron",,93
"KING, Johnny",,0
"HARRIS, Smoke",,83
"JACKSON, Jermaine",BC Lions,13
"PIERRE, Marvin",,54
"WOODLEY, Isaiah",,0
"RYAN, Sean",Montreal Alouettes,76
"BOWSER, Isaiah",,0
"PARKINSON, Max",,78
"SMITH, Chris",,13
"HUBBARD, Ellison",,0
"DARKANGELO, Isaac",Toronto Argonauts,35
"POPE, Zane",,80
"DIMBONGI, Willy-Pierre",,0
"THOMPSON, Keytaon",,0
"BEAULIEU, Brendan",,0
"EDWARDS, Keon",,0
"Harris, Tobias",Ottawa Redblacks,41
"KOLAREVIC, Chris",,48
"CHOLOH, Will",,0
"LATULAS, Kevon",,0
"DALEY, Tae",,33
"BRUNNER, John",,0
"MAGNAYE-JONES, Savaughn",,0
"BRATTON, Darrius",Toronto Argonauts,9
"BARNETT, Sy",,0
"MBANASOR, Nelson",,0
"AGNEW, Keenan",,0
"WAGGONER, John",,0
"GARIBAY, Jonathan",,0
"WILLIAMS, Tyler",,98
"COYNE, Sean",,0
"HORST, Jarrett",Montreal Alouettes,0
"SHRADER, Garrett",,16
"RAINE, Adam",,97
"SALIMA, Jordan",,0
